season,S.IY1.Z.AH0.N
shawl,SH.AO1.L
shallow,SH.AE1.L.OW0
serve,S.ER1.V
simulate,S.IH1.M.Y.AH0.L.EY2.T
sold,S.OW1.L.D
sex,S.EH1.K.S
stairs,S.T.EH1.R.Z
stocking,S.T.AA1.K.IH0.NG
scalpel,S.K.AE1.L.P.AH0.L
steel,S.T.IY1.L
spurn,S.P.ER1.N
slack,S.L.AE1.K
scrumptious,S.K.R.AH1.M.P.SH.UH0.S
stammer,S.T.AE1.M.ER0
shampoo,SH.AE2.M.P.UW1
scabbard,S.K.AE1.B.ER0.D
shill,SH.IH1.L
shower,SH.AW1.ER0
silly,S.IH1.L.IY0
store,S.T.AO1.R
shotgun,SH.AA1.T.G.AH2.N
sparrow,S.P.EH1.R.OW0
synthesis,S.IH1.N.TH.AH0.S.AH0.S
sooner,S.UW1.N.ER0
sophia,S.OW1.F.IY0.AH0
supplement,S.AH1.P.L.AH0.M.AH0.N.T
seer,S.IY1.R
sam,S.AE1.M
slay,S.L.EY1
sumptuous,S.AH1.M.P.CH.UW0.AH0.S
slaw,S.L.AO1
slat,S.L.AE1.T
suspicious,S.AH0.S.P.IH1.SH.AH0.S
sag,S.AE1.G
spectrum,S.P.EH1.K.T.R.AH0.M
slap,S.L.AE1.P
sad,S.AE1.D
sardonic,S.AA2.R.D.AA1.N.IH0.K
say,S.EY1
shell,SH.EH1.L
suspense,S.AH0.S.P.EH1.N.S
sulk,S.AH1.L.K
seltzer,S.EH1.L.T.S.ER0
seen,S.IY1.N
seem,S.IY1.M
sap,S.AE1.P
seamstress,S.IY1.M.S.T.R.IH0.S
sensual,S.EH1.N.CH.UW0.AH0.L
sat,S.AE1.T
sell,S.EH1.L
screw,S.K.R.UW1
strength,S.T.R.EH1.NG.K.TH
soak,S.OW1.K
scone,S.K.OW1.N
sometime,S.AH1.M.T.AY2.M
self,S.EH1.L.F
shore,SH.AO1.R
snot,S.N.AO1.T
snout,S.N.AW1.T
scree,S.K.R.IY1
superior,S.UW0.P.IH1.R.IY0.ER0
Santa,S.AE1.N.T.AH0
shelf,SH.EH1.L.F
sherry,SH.EH1.R.IY0
seasonings,S.IY1.Z.AH0.N.IH0.NG.Z
strengths,S.T.R.EH1.NG.TH.S
soap,S.OW1.P
soar,S.AO1.R
serene,S.ER0.IY1.N
salubrious,S.AH0.L.UW1.B.R.IH0.AH0.S
suerte,S.W.EH1.R.T.EH0
stirrup,S.T.ER1.AH0.P
shall,SH.AE1.L
syllable,S.IH1.L.AH0.B.AH0.L
sewing,S.OW1.IH0.NG
salmon,S.AE1.M.AH0.N
sausage,S.AO1.S.IH0.JH
swishy,S.W.IH1.SH.IY0
cipher,S.AY1.F.ER0
significant,S.IH0.G.N.IH1.F.IH0.K.AH0.N.T
sedan,S.AH0.D.AE1.N
segment,S.EH2.G.M.EH1.N.T
sub,S.AH1.B
salary,S.AE1.L.ER0.IY0
statute,S.T.AE1.CH.UW0.T
singer,S.IH1.NG.ER0
stupid,S.T.UW1.P.IH0.D
synonym,S.IH1.N.AH0.N.IH2.M
seize,S.IY1.Z
sped,S.P.EH1.D
saturate,S.AE1.CH.ER0.EY2.T
sale,S.EY1.L
stranction,S.T.R.AE1.N.K.SH.AH0.N
sewing_machine,S.OW1.IH0.NG.M.AH0.SH.IY1.N
strawberries,S.T.R.AO1.B.EH2.R.IY0.Z
sunset,S.AH1.N.S.EH2.T
subsequent,S.AH1.B.S.AH0.K.W.AH0.N.T
skunk,S.K.AH1.NG.K
salt,S.AO1.L.T
scream,S.K.R.IY1.M
seam,S.IY1.M
shop,SH.AA1.P
saying,S.EY1.IH0.NG
sanctuary,S.AE1.NG.K.CH.UW0.EH2.R.IY0
shot,SH.AA1.T
somewhat,S.AH2.M.W.AH1.T
stunned,S.T.AH1.N.D
show,SH.OW1
seclude,S.AH0.K.L.UW1.D
spire,S.P.AY1.R
stove,S.T.OW1.V
sage,S.EY1.JH
solicitude,S.AH0.L.IH1.S.IH0.T.UW2.D
session,S.EH1.SH.AH0.N
seaweed,S.IY1.W.IY2.D
scarce,S.K.EH1.R.S
shibboleth,SH.IH1.B.AH0.L.EH2.TH
shoes,SH.UW1.Z
slot,S.L.AA1.T
slow,S.L.OW1
slop,S.L.AA1.P
spite,S.P.AY1.T
scooter,S.K.UW1.T.ER0
scorpion,S.K.AO1.R.P.IY0.AH0.N
should,SH.UH1.D
suberate,S.UW1.B.ER0.EH0.T
satan,S.EY1.T.AH0.N
sanitize,S.AE1.N.IH0.T.AY2.Z
slob,S.L.AA1.B
sierra,S.IY0.EH1.R.AH0
suspect,S.AH1.S.P.EH2.K.T
sea_lion,S.IY1.L.AY1.AH0.N
swing,S.W.IH1.NG
silt,S.IH1.L.T
starch,S.T.AA1.R.CH
spurious,S.P.ER1.IY0.AH0.S
secular,S.EH1.K.Y.AH0.L.ER0
samuel,S.AE1.M.Y.UW0.L
stop,S.T.AA1.P
stripes,S.T.R.AY1.P.S
sickle,S.IH1.K.AH0.L
semi-conscious,S.IH1.M.IY0.K.AA2.N.CH.UH0.S
swamps,S.W.AO1.M.P.S
watermelon,W.AO1.T.ER0.M.EH2.L.AH0.N
strum,S.T.R.AH1.M
syntax,S.IH1.N.T.AE2.K.S
sassy,S.AE1.S.IY0
saturn,S.AE1.T.ER0.N
sill,S.IH1.L
syllogism,S.IH2.L.AH0.JH.IH1.Z.AH0.M
silo,S.AY1.L.OW0
sideway,S.AY1.D.W.EY0
synapse,S.IH1.AE0.P.S
Sinclair,S.IH0.NG.K.L.EY1.ER0
sleeve,S.L.IY1.V
semi_-_annual,S.IH1.M.IY0.AE1.N.Y.UW0.AH0.L
shy,SH.AY1
seldom,S.EH1.L.D.AH0.M
saliva,S.AH0.L.AY1.V.AH0
shape,SH.EY1.P
summary,S.AH1.M.ER0.IY0
softly,S.AO1.F.L.IY0
she,SH.IY1
steal,S.T.IY1.L
steam,S.T.IY1.M
secretary,S.EH1.K.R.AH0.T.EH2.R.IY0
sew,S.OW1
seventeen,S.EH2.V.AH0.N.T.IY1.N
set,S.EH1.T
signify,S.IH1.G.N.AH0.F.AY2
surpass,S.ER0.P.AE1.S
super,S.UW1.P.ER0
seabass,S.IY1.B.AE0.S
seas,S.IY1.Z
sear,S.IH1.R
station,S.T.EY1.SH.AH0.N
signs,S.AY1.N.Z
seat,S.IY1.T
see,S.IY1
sea,S.IY1
seal,S.IY1.L
sen,S.EH1.N.AH0.T.ER0
sport,S.P.AO1.R.T
slam,S.L.AE1.M
sameness,S.EY1.M.N.AH0.S
success,S.AH0.K.S.EH1.S
said,S.EH1.D
sombrero,S.AA2.M.B.R.EH1.R.OW0
scrap,S.K.R.AE1.P
sail,S.EY1.L
slander,S.L.AE1.N.D.ER0
superb,S.UH2.P.ER1.B
spinach,S.P.IH1.N.AH0.CH
state,S.T.EY1.T
score,S.K.AO1.R
skyscraper,S.K.AY1.S.K.R.EY2.P.ER0
sable,S.EY1.B.AH0.L
scram,S.K.R.AE1.M
satiety,S.AH0.T.AY1.AH0.T.IY0
stalk,S.T.AO1.K
sabotage,S.AE1.B.AH0.T.AA2.ZH
slingshot,S.L.IH1.NG.SH.AA2.T
speed,S.P.IY1.D
satiate,S.EH1.SH.IH0.EH0.T
solo,S.OW1.L.OW0
swift,S.W.IH1.F.T
cauliflower,K.AA1.L.AH0.F.L.AW2.ER0
splurge,S.P.L.ER1.JH
silicone,S.IH1.L.AH0.K.OW2.N
screen,S.K.R.IY1.N
stepmom,S.T.EH1.P.M.AA1.M
superficial,S.UW2.P.ER0.F.IH1.SH.AH0.L
souvenir,S.UW2.V.AH0.N.IH1.R
spray,S.P.R.EY1
succeed,S.AH0.K.S.IY1.D
scuttle,S.K.AH1.T.AH0.L
spoil,S.P.OY1.L
semi-annual,S.IH1.M.IY0.AE1.N.Y.UW0.AH0.L
sassafras,S.AE1.S.AH0.F.R.AE2.S
sunburnt,S.AH1.N.B.ER0.N.T
sonorous,S.AA1.N.ER0.AH0.S
syllabus,S.IH1.L.AH0.B.AH0.S
Snapple,S.N.AE1.P.AH0.L
shingle,SH.IH1.NG.G.AH0.L
space,S.P.EY1.S
succotash,S.AH1.K.OW0.T.AE0.SH
sensitive,S.EH1.N.S.IH0.T.IH0.V
spatter,S.P.AE1.T.ER0
sublime,S.AH0.B.L.AY1.M
sketch,S.K.EH1.CH
stent,S.T.EH1.N.T
section,S.EH1.K.SH.AH0.N
swallow,S.W.AO1.L.OW0
santa_claus,S.AE1.N.AH0.K.L.AO1.Z
safely,S.EY1.F.L.IY0
secrete,S.IH0.K.R.IY1.T
suggest,S.AH0.G.JH.EH1.S.T
stretcher,S.T.R.EH1.CH.ER0
spear,S.P.IH1.R
supply,S.AH0.P.L.AY1
simple,S.IH1.M.P.AH0.L
selenium,S.AH0.L.IY1.N.IY0.AH0.M
stuck,S.T.AH1.K
smother,S.M.AH1.DH.ER0
seizure,S.IY1.ZH.ER0
satisfaction,S.AE2.T.IH0.S.F.AE1.K.SH.AH0.N
scallop,S.K.AE1.L.AH0.P
slain,S.L.EY1.N
simply,S.IH1.M.P.L.IY0
shutdown,SH.AH1.T.D.AW2.N
sing,S.IH1.NG
subtle,S.AH1.T.AH0.L
sammy,S.AE1.M.IY0
supple,S.AH1.P.AH0.L
styroy,S.T.AY1.R.OY0
speak,S.P.IY1.K
sensible,S.EH1.N.S.AH0.B.AH0.L
swashbuckling,S.W.AA1.SH.B.AH2.K.L.IH0.NG
strong,S.T.R.AO1.NG
stamp,S.T.AE1.M.P
seashell,S.IY1.SH.EH2.L
satire,S.AE1.T.AY2.ER0
strategy,S.T.R.AE1.T.AH0.JH.IY0
submarine,S.AH2.B.M.ER0.IY1.N
secret,S.IY1.K.R.IH0.T
suffocate,S.AH1.F.AH0.K.EY2.T
sweeping,S.W.IY1.P.IH0.NG
sucks,S.AH1.K.S
spa,S.P.AA1
stud,S.T.AH1.D
senses,S.EH1.N.S.IH0.Z
squirrel,S.K.W.ER1.AH0.L
spit,S.P.IH1.T
stifle,S.T.AY1.F.AH0.L
sunshine,S.AH1.N.SH.AY2.N
squash,S.K.W.AA1.SH
sort,S.AO1.R.T
savory,S.EY1.V.ER0.IY0
substance,S.AH1.B.S.T.AH0.N.S
systematic,S.IH2.S.T.AH0.M.AE1.T.IH0.K
